Industry,Employment Growth by Industry (2024-2029)
"11 Agriculture, forestry, fishing and hunting",58
"21 Mining, quarrying, and oil and gas extraction",5
22 Utilities,2
23 Construction,13
31-33 Manufacturing,8
41 Wholesale trade,3
44-45 Retail trade,22
48-49 Transportation and warehousing,3
51 Information and cultural industries,0
52 Finance and insurance,2
53 Real estate and rental and leasing,1
"54 Professional, scientific and technical services",5
55 Management of companies and enterprises,0
"56 Admin and support, waste management and remediation services",2
61 Educational services,6
62 Health care and social assistance,14
"71 Arts, entertainment and recreation",1
72 Accommodation and food services,1
81 Other services (except public administration),6
91 Public administration,3
