CSDUID,CSD,Period,IndicatorSummaryDescription,Age,Age Group,Gender,OriginalValue
4807019,Stettler County No. 6,2024,Population,5,5-9,Female,46
4807019,Stettler County No. 6,2024,Population,6,5-9,Female,41
4807019,Stettler County No. 6,2024,Population,7,5-9,Female,38
4807019,Stettler County No. 6,2024,Population,8,5-9,Female,38
4807019,Stettler County No. 6,2024,Population,9,5-9,Female,49
4807019,Stettler County No. 6,2024,Population,5,5-9,Male,52
4807019,Stettler County No. 6,2024,Population,6,5-9,Male,42
4807019,Stettler County No. 6,2024,Population,7,5-9,Male,50
4807019,Stettler County No. 6,2024,Population,8,5-9,Male,59
4807019,Stettler County No. 6,2024,Population,9,5-9,Male,41
4807019,Stettler County No. 6,2024,Population,10,10-14,Female,43
4807019,Stettler County No. 6,2024,Population,11,10-14,Female,46
4807019,Stettler County No. 6,2024,Population,12,10-14,Female,40
4807019,Stettler County No. 6,2024,Population,13,10-14,Female,45
4807019,Stettler County No. 6,2024,Population,14,10-14,Female,32
4807019,Stettler County No. 6,2024,Population,10,10-14,Male,44
4807019,Stettler County No. 6,2024,Population,11,10-14,Male,42
4807019,Stettler County No. 6,2024,Population,12,10-14,Male,50
4807019,Stettler County No. 6,2024,Population,13,10-14,Male,51
4807019,Stettler County No. 6,2024,Population,14,10-14,Male,43
4807019,Stettler County No. 6,2024,Population,0,0-4,Female,30
4807019,Stettler County No. 6,2024,Population,1,0-4,Female,21
4807019,Stettler County No. 6,2024,Population,2,0-4,Female,32
4807019,Stettler County No. 6,2024,Population,3,0-4,Female,43
4807019,Stettler County No. 6,2024,Population,4,0-4,Female,45
4807019,Stettler County No. 6,2024,Population,0,0-4,Male,22
4807019,Stettler County No. 6,2024,Population,1,0-4,Male,26
4807019,Stettler County No. 6,2024,Population,2,0-4,Male,19
4807019,Stettler County No. 6,2024,Population,3,0-4,Male,32
4807019,Stettler County No. 6,2024,Population,4,0-4,Male,21
4807019,Stettler County No. 6,2024,Population,15,15-19,Female,51
4807019,Stettler County No. 6,2024,Population,16,15-19,Female,31
4807019,Stettler County No. 6,2024,Population,17,15-19,Female,37
4807019,Stettler County No. 6,2024,Population,18,15-19,Female,26
4807019,Stettler County No. 6,2024,Population,19,15-19,Female,29
4807019,Stettler County No. 6,2024,Population,15,15-19,Male,50
4807019,Stettler County No. 6,2024,Population,16,15-19,Male,35
4807019,Stettler County No. 6,2024,Population,17,15-19,Male,52
4807019,Stettler County No. 6,2024,Population,18,15-19,Male,55
4807019,Stettler County No. 6,2024,Population,19,15-19,Male,39
4807019,Stettler County No. 6,2024,Population,20,20-24,Female,41
4807019,Stettler County No. 6,2024,Population,21,20-24,Female,36
4807019,Stettler County No. 6,2024,Population,22,20-24,Female,29
4807019,Stettler County No. 6,2024,Population,23,20-24,Female,14
4807019,Stettler County No. 6,2024,Population,24,20-24,Female,21
4807019,Stettler County No. 6,2024,Population,20,20-24,Male,27
4807019,Stettler County No. 6,2024,Population,21,20-24,Male,50
4807019,Stettler County No. 6,2024,Population,22,20-24,Male,38
4807019,Stettler County No. 6,2024,Population,23,20-24,Male,24
4807019,Stettler County No. 6,2024,Population,24,20-24,Male,31
4807019,Stettler County No. 6,2024,Population,25,25-29,Female,23
4807019,Stettler County No. 6,2024,Population,26,25-29,Female,10
4807019,Stettler County No. 6,2024,Population,27,25-29,Female,5
4807019,Stettler County No. 6,2024,Population,28,25-29,Female,21
4807019,Stettler County No. 6,2024,Population,29,25-29,Female,35
4807019,Stettler County No. 6,2024,Population,25,25-29,Male,11
4807019,Stettler County No. 6,2024,Population,26,25-29,Male,26
4807019,Stettler County No. 6,2024,Population,27,25-29,Male,23
4807019,Stettler County No. 6,2024,Population,28,25-29,Male,32
4807019,Stettler County No. 6,2024,Population,29,25-29,Male,25
4807019,Stettler County No. 6,2024,Population,30,30-34,Female,31
4807019,Stettler County No. 6,2024,Population,31,30-34,Female,28
4807019,Stettler County No. 6,2024,Population,32,30-34,Female,30
4807019,Stettler County No. 6,2024,Population,33,30-34,Female,55
4807019,Stettler County No. 6,2024,Population,34,30-34,Female,24
4807019,Stettler County No. 6,2024,Population,30,30-34,Male,27
4807019,Stettler County No. 6,2024,Population,31,30-34,Male,20
4807019,Stettler County No. 6,2024,Population,32,30-34,Male,28
4807019,Stettler County No. 6,2024,Population,33,30-34,Male,34
4807019,Stettler County No. 6,2024,Population,34,30-34,Male,29
4807019,Stettler County No. 6,2024,Population,35,35-39,Female,30
4807019,Stettler County No. 6,2024,Population,36,35-39,Female,42
4807019,Stettler County No. 6,2024,Population,37,35-39,Female,35
4807019,Stettler County No. 6,2024,Population,38,35-39,Female,51
4807019,Stettler County No. 6,2024,Population,39,35-39,Female,46
4807019,Stettler County No. 6,2024,Population,35,35-39,Male,26
4807019,Stettler County No. 6,2024,Population,36,35-39,Male,36
4807019,Stettler County No. 6,2024,Population,37,35-39,Male,33
4807019,Stettler County No. 6,2024,Population,38,35-39,Male,45
4807019,Stettler County No. 6,2024,Population,39,35-39,Male,41
4807019,Stettler County No. 6,2024,Population,40,40-44,Female,46
4807019,Stettler County No. 6,2024,Population,41,40-44,Female,41
4807019,Stettler County No. 6,2024,Population,42,40-44,Female,42
4807019,Stettler County No. 6,2024,Population,43,40-44,Female,33
4807019,Stettler County No. 6,2024,Population,44,40-44,Female,28
4807019,Stettler County No. 6,2024,Population,40,40-44,Male,27
