name,lat,lng,phone,email,address,industry
Alberta AG Centre,52.3228,-112.713,587-747‑5090,marketing@ab‑ag.ca,"4104 44 Ave, Stettler, AB T0C 2L0",Agriculture
Brandt Agriculture Stettler,52.32706591,-112.7615656,403‑742‑4427,,"Highway 12 West (5001 82 St?), Stettler, AB T0C 2L0",Agriculture
Central Alberta Ag Supplies,52.32990857,-112.6927441,,,"4305 52 Ave, Stettler, AB T0C 2L2",Agriculture
Crop Management Network Inc.,52.32902797,-112.7018385,,,,Agriculture
Echo Ridge Seeds,52.54935588,-112.5682235,,,"18469 TWP RD 41 #4, Donalda, AB T0B 1H0",Agriculture
Future Ag Inc.,52.32386938,-112.7460806,,,"7401 50 Ave, Stettler, AB T0C 2L0",Agriculture
Gyro AG Ltd,52.32124409,-112.6802474,,,,Agriculture
Koch Fuels,52.37626721,-112.67821,,,,Agriculture
Lakeshore Pheasant Ranch,52.04305508,-112.4290893,,,,Agriculture
Lyster Farms Ltd,52.32528082,-112.6913635,,,,Agriculture
Nutrien Ag Solutions,52.33246718,-112.6958411,,,,Agriculture
Prairie Brae Miniature Donkeys (County),53.8206695,-113.3605965,,,,Agriculture
Prairie Wind Flower Farm,53.85292213,-113.3955164,,,,Agriculture
Proveta Nutrition,52.6439028,-112.8518826,,,,Agriculture
Rusty Barbed Farms,,,,,,Agriculture
Stettler Agri-Centre,52.31913684,-112.6865262,403‑742‑8327,,"4004 44 Ave, Stettler, AB T0C 2L0",Agriculture
Stettler Auction Mart (1990) Ltd.,52.33062917,-112.6930977,,,,Agriculture
Stettler Seed Cleaning Plant,,,,,,Agriculture
Vikse Family Farm,,,,,,Agriculture
Viterra,52.32340754,-112.6540841,,,,Agriculture
Canadian Tire,52.3246446,-112.7333792,403-742-8319,,,Building Supplies
Jensen Interiors (Stettler) Ltd.,,,587-799-0944,,,Building Supplies
Metal Roofing & Siding Experts Inc.,,,,,,Building Supplies
Peavey Mart,,,403-742-5600,,,Building Supplies
Prominent Flooring & Tile,,,,,,Building Supplies
Schwartz Home Building Centre,,,403-742-3385,,,Building Supplies
Stettler Building Supplies,,,,,,Building Supplies
Stettler Flooring & Paint Ltd.,,,,,,Building Supplies
Stettler Home Hardware,,,,,,Building Supplies
Stettler Tool and Hardware,,,,,,Building Supplies
1-Up Plumbing & Heating,52.327,-112.7225,403-743-0333,,"4705A 41 St, Stettler, AB T0C 2L1",Construction
Action Plumbing and Excavating,52.3265,-112.7192,403-742-5237,,"4706 44 Ave, Stettler, AB T0C 2L0",Construction
Burmac Mechanical 2000,52.325,-112.737,403-742-5208,,"6118 50 Ave, Stettler, AB T0C 2L2",Construction
Stettler Plumbing & Heating,52.3255,-112.72,403-741-2592,,,Construction
Keith's Refrigeration Ltd.,52.326,-112.722,403-742-0071,,"4705 42 St, Stettler, AB T0C 2L0",Construction
Ken's Cabinets and Renovations,52.328,-112.716,403-742-1512,,"4909 51 Ave, Stettler, AB T0C 2L2",Construction
Klassen Construction,52.3228,-112.713,403-742-2574,,,Construction
L-Con,52.3228,-112.713,403-323-0243,,,Construction
Manx Construction,52.3228,-112.713,403-742-6237,,,Construction
Recharge Electric & Controls Ltd.,52.3228,-112.713,403-741-9546,,,Construction
Reid Volker Construction Ltd,52.3228,-112.713,403-742-5288,,,Construction
Stettler Electric,52.3255,-112.7205,403-742-2831,,"5003 47 St, Stettler, AB",Construction
The Wright Builders Ltd,52.3228,-112.713,403-741-7171,,,Construction
Volker Brothers Construction,52.3228,-112.713,403-741-7679,,,Construction
Wally's Backhoe Services Ltd.,52.3228,-112.713,403-742-8376,,,Construction
Christ-King Catholic School,52.3257,-112.7194,403-742-0280,,"4704B 55 St, Stettler, AB T0C 2L2",Education
Clearview Public Schools,52.3278,-112.7164,403-742-3331,,"5031 50 St, Stettler, AB T0C 2L0",Education
